_id,ltable_id,rtable_id,ltable_name,ltable_release_year,ltable_director,ltable_actors,ltable_runtime,rtable_name,rtable_release_year,rtable_director,rtable_actors,rtable_runtime,label
40897,a982,b1775,misery,1990,Rob Reiner,James Caan Kathy Bates Richard Farnsworth Frances Sternhagen,107,misery,1990,Rob Reiner,James Caan Kathy Bates,107,1
801,a135,b27,ratatouille,2007,Brad Bird Jan Pinkava,Brad Garrett Lou Romano Patton Oswalt Ian Holm,111,ratatouille,2007,Brad Bird,Brad Garrett Lou Romano Patton Oswalt,111,1
36305,a385,b1581,the thing,1982,John Carpenter,Kurt Russell Wilford Brimley Keith David Richard Masur,109,escape from new york,1981,John Carpenter,Kurt Russell Lee Van Cleef,99,0
55639,a542,b2447,batman returns,1992,Tim Burton,Michael Keaton Danny DeVito Michelle Pfeiffer Christopher Walken,126,batman returns,1992,Tim Burton,Danny DeVito Michael Keaton Michelle Pfeiffer,126,1
66721,a1085,b2957,once upon a time in mexico,2003,Robert Rodriguez,Antonio Banderas Salma Hayek Johnny Depp Willem Dafoe,102,spy kids 2  island of lost dreams,2002,Robert Rodriguez,Alexa Vega Antonio Banderas Carla Gugino Daryl Sabara,100,0
25277,a880,b1151,tarzan,1999,Chris Buck Kevin Lima,Tony Goldwyn Minnie Driver Brian Blessed Glenn Close,88,tarzan,1999,Chris Buck Kevin Lima,Minnie Driver Tony Goldwyn,88,1
17532,a2533,b785,a simple plan,1998,Sam Raimi,Bill Paxton Billy Bob Thornton Bridget Fonda Brent Briscoe,121,a simple plan,1998,Sam Raimi,Bill Paxton Billy Bob Thornton,121,1
8262,a1496,b318,nebraska,2013,Alexander Payne,Bruce Dern Will Forte June Squibb Bob Odenkirk,115,nebraska,2013,Alexander Payne,Bob Odenkirk Bruce Dern June Squibb Stacy Keach Will Forte,115,1
67811,a283,b2992,the amazing spider man 2,2014,Marc Webb,Andrew Garfield Emma Stone Jamie Foxx Paul Giamatti,142,the amazing spider man,2012,Marc Webb,Andrew Garfield Emma Stone Irrfan Khan Martin Sheen Rhys Ifans Sally Field,136,0
64377,a1172,b2861,the danish girl,2015,Tom Hooper,Eddie Redmayne Alicia Vikander Amber Heard Ben Whishaw,119,the danish girl,2015,Tom Hooper,Alicia Vikander Amber Heard Ben Whishaw Eddie Redmayne,119,1
11613,a230,b494,children of men,2006,Alfonso Cuarón,Julianne Moore Clive Owen Chiwetel Ejiofor Michael Caine,109,children of men,2006,Alfonso Cuarón,Chiwetel Ejiofor Clive Owen Julianne Moore Michael Caine,109,1
16050,a1022,b699,the lobster,2015,Yorgos Lanthimos,Colin Farrell Rachel Weisz Jessica Barden Olivia Colman,119,the lobster,2016,Giorgos Lanthimos,Colin Farrell Jessica Barden Olivia Colman Rachel Weisz,119,1
16399,a194,b716,harry potter and the prisoner of azkaban,2004,Alfonso Cuarón,Daniel Radcliffe Emma Watson Rupert Grint Richard Griffiths,142,harry potter and the prisoner of azkaban,2004,Alfonso Cuarón,Daniel Radcliffe Rupert Grint,141,1
860,a1698,b31,carol,2015,Todd Haynes,Cate Blanchett Rooney Mara Sarah Paulson Kyle Chandler,118,carol,2015,Todd Haynes,Cate Blanchett Cory Michael Smith Jake Lacy John Magaro Kyle Chandler Rooney Mara Sarah Paulson,118,1
44374,a146,b1960,twelve monkeys,1995,Terry Gilliam,Bruce Willis Madeleine Stowe Brad Pitt Joseph Melito,129,twelve monkeys,1996,Terry Gilliam,Bruce Willis Madeleine Stowe,129,1
11419,a1512,b481,from russia with love,1963,Terence Young,Sean Connery Robert Shaw Lotte Lenya Daniela Bianchi,115,from russia with love,1964,Terence Young,Lotte Lenya Robert Shaw Sean Connery,115,1
45795,a2137,b2043,bad lieutenant  port of call new orleans,2009,Werner Herzog,Nicolas Cage Eva Mendes Russell M. Haeuser Val Kilmer,122,the bad lieutenant  port of call   new orleans,2009,Werner Herzog,Eva Mendes Nicolas Cage,122,1
14519,a1303,b632,manhattan,1979,Woody Allen,Woody Allen Diane Keaton Mariel Hemingway Michael Murphy,96,manhattan,1979,Woody Allen,Diane Keaton Mariel Hemingway Woody Allen,96,1
26884,a3038,b1205,high plains drifter,1973,Clint Eastwood,Clint Eastwood Verna Bloom Marianna Hill Mitchell Ryan,105,play misty for me,1971,Clint Eastwood,Clarice Taylor Clint Eastwood Don Siegel Donna Mills Duke Everts Irene Hervey Jack Ging James McEachin Jessica Walter John Larch,102,0
31149,a1369,b1380,the gift,2015,Joel Edgerton,Jason Bateman Rebecca Hall Joel Edgerton Allison Tolman,108,the gift,2015,Joel Edgerton,Jason Bateman Joel Edgerton Rebecca Hall,108,1
57152,a2371,b2520,hush,2016,Mike Flanagan,John Gallagher Jr. Kate Siegel Michael Trucco Samantha Sloyan,81,hush,2016,Mike Flanagan,,81,1
41110,a1435,b1793,infernal affairs,2002,Wai-Keung Lau Alan Mak,Andy Lau Tony Chiu-Wai Leung Anthony Chau-Sang Wong Eric Tsang,101,infernal affairs,2004,Alan Mak Wai-keung Lau,Andy Lau Anthony Wong Chau-Sang Tony Leung Chiu Wai,101,1
66761,a2684,b2957,spy kids 2  island of lost dreams,2002,Robert Rodriguez,Alexa PenaVega Daryl Sabara Antonio Banderas Carla Gugino,100,spy kids 2  island of lost dreams,2002,Robert Rodriguez,Alexa Vega Antonio Banderas Carla Gugino Daryl Sabara,100,1
53372,a188,b2362,the bourne identity,2002,Doug Liman,Franka Potente Matt Damon Chris Cooper Clive Owen,119,the bourne identity,2002,Doug Liman,Franka Potente Matt Damon,119,1
28670,a2056,b1282,the guard,2011,John Michael McDonagh,Brendan Gleeson Don Cheadle Mark Strong Ronan Collins,96,the guard,2011,John Michael McDonagh,,96,1
50589,a2245,b2241,ong bak  the thai warrior,2003,Prachya Pinkaew,Tony Jaa Petchtai Wongkamlao Pumwaree Yodkamol Suchao Pongwilai,105,ong bak,2005,Prachya Pinkaew,Petchtai Wongkamlao Tony Jaa,105,0
1499,a2405,b43,the man who shot liberty valance,1962,John Ford,James Stewart John Wayne Vera Miles Lee Marvin,123,the man who shot liberty valance,1962,John Ford,Andy Devine Edmond O'Brien James Stewart Jeanette Nolan John Carradine John Qualen John Wayne Ken Murray Lee Marvin Vera Miles,123,1
42485,a831,b1860,american wedding,2003,Jesse Dylan,Jason Biggs Alyson Hannigan Seann William Scott Eugene Levy,96,roger dodger,2002,Dylan Kidd,Campbell Scott Isabella Rossellini Jesse Eisenberg,106,0
37964,a559,b1670,10 cloverfield lane,2016,Dan Trachtenberg,John Goodman Mary Elizabeth Winstead John Gallagher Jr. Douglas M. Griffin,103,10 cloverfield lane,2016,Dan Trachtenberg,John Gallagher Jr. John Goodman Mary Elizabeth Winstead,104,1
33013,a575,b1456,the graduate,1967,Mike Nichols,Dustin Hoffman Anne Bancroft Katharine Ross William Daniels,106,the graduate,1967,Mike Nichols,Anne Bancroft Dustin Hoffman,105,1
24954,a728,b1136,gandhi,1982,Richard Attenborough,Ben Kingsley John Gielgud Candice Bergen Edward Fox,191,gandhi,1983,Richard Attenborough,Athol Fugard Ben Kingsley Candice Bergen Edward Fox Günther Maria Halmer Ian Charleson John Gielgud John Mills Martin Sheen Trevor Howard,191,1
56269,a2673,b2481,top secret ,1984,Jim Abrahams David Zucker Jerry Zucker,Val Kilmer Lucy Gutteridge Peter Cushing Jeremy Kemp,90,top secret ,1984,David Zucker Jerry Zucker Jim Abrahams,Val Kilmer,90,1
186,a1624,b8,the treasure of the sierra madre,1948,John Huston,Humphrey Bogart Walter Huston Tim Holt Bruce Bennett,126,the treasure of the sierra madre,1948,John Huston,Alfonso Bedoya Arturo Soto Rangel Barton MacLane Bruce Bennett Humphrey Bogart José Torvay Manuel Dondé Margarito Luna Tim Holt Walter Huston,126,1
49743,a391,b2198,22 jump street,2014,Phil Lord Christopher Miller,Channing Tatum Jonah Hill Ice Cube Nick Offerman,112,21 jump street,2012,Chris Miller Phil Lord,Channing Tatum Ice Cube Jonah Hill,109,0
13189,a2697,b582,shallow grave,1994,Danny Boyle,Kerry Fox Christopher Eccleston Ewan McGregor Ken Stott,89,trainspotting,1996,Danny Boyle,Ewan McGregor Ewen Bremner Jonny Lee Miller Kevin McKidd Robert Carlyle,94,0
35788,a2395,b1562,a monster calls,2016,J.A. Bayona,Lewis MacDougall Sigourney Weaver Felicity Jones Toby Kebbell,108,a monster calls,2016,Juan Antonio Bayona,Felicity Jones Lewis MacDougall Liam Neeson Sigourney Weaver Toby Kebbell,108,1
36151,a1030,b1579,the road warrior,1981,George Miller,Mel Gibson Bruce Spence Michael Preston Max Phipps,94,the road warrior,1982,George Miller,Mel Gibson,94,1
7769,a2837,b293,shine,1996,Scott Hicks,Geoffrey Rush Armin Mueller-Stahl Justin Braine Sonia Todd,105,shine,1996,Scott Hicks,Armin Mueller-Stahl Geoffrey Rush,105,1
19409,a116,b878,skyfall,2012,Sam Mendes,Daniel Craig Javier Bardem Naomie Harris Judi Dench,143,skyfall,2012,Sam Mendes,Daniel Craig Helen McCrory Javier Bardem Judi Dench Naomie Harris Ralph Fiennes,143,1
57685,a1900,b2546,t2 trainspotting,2017,Danny Boyle,Ewan McGregor Ewen Bremner Jonny Lee Miller Robert Carlyle,117,t2 trainspotting,2017,Danny Boyle,Ewan McGregor Ewen Bremner Jonny Lee Miller Robert Carlyle,117,1
64485,a4,b2870,fight club,1999,David Fincher,Brad Pitt Edward Norton Meat Loaf Zach Grenier,139,fight club,1999,David Fincher,Brad Pitt Edward Norton,139,1
33953,a181,b1491,logan,2017,James Mangold,Hugh Jackman Patrick Stewart Dafne Keen Boyd Holbrook,137,logan,2017,James Mangold,Boyd Holbrook Dafne Keen Elizabeth Rodriguez Hugh Jackman Patrick Stewart Richard E. Grant Stephen Merchant,137,1
37652,a1455,b1648,wild,2014,Jean-Marc Vallée,Reese Witherspoon Laura Dern Gaby Hoffmann Michiel Huisman,115,wild,2014,Jean-Marc Vallée,Gaby Hoffmann Laura Dern Michiel Huisman Reese Witherspoon,115,1
58861,a2697,b2608,shallow grave,1994,Danny Boyle,Kerry Fox Christopher Eccleston Ewan McGregor Ken Stott,89,shallow grave,1995,Danny Boyle,Christopher Eccleston Ewan McGregor Kerry Fox,92,1
19198,a786,b865,moana,2016,Ron Clements John Musker Don Hall Chris Williams,Auli'i Cravalho Dwayne Johnson Rachel House Temuera Morrison,107,moana,2016,Chris Williams Don Hall John Musker Ron Clements,,107,1
61217,a1669,b2718,frequency,2000,Gregory Hoblit,Dennis Quaid Jim Caviezel Shawn Doyle Elizabeth Mitchell,118,frequency,2000,Gregory Hoblit,Dennis Quaid James Caviezel,118,1
8096,a174,b306,jaws,1975,Steven Spielberg,Roy Scheider Robert Shaw Richard Dreyfuss Lorraine Gary,124,jaws,1975,Steven Spielberg,Richard Dreyfuss Robert Shaw Robert Shaw Roy Scheider,124,1
38648,a980,b1696,the talented mr  ripley,1999,Anthony Minghella,Matt Damon Gwyneth Paltrow Jude Law Cate Blanchett,139,the talented mr  ripley,1999,Anthony Minghella,Gwyneth Paltrow Jude Law Matt Damon,139,1
30757,a849,b1371,run lola run,1998,Tom Tykwer,Franka Potente Moritz Bleibtreu Herbert Knaup Nina Petri,80,run lola run,1999,Tom Tykwer,Franka Potente Moritz Bleibtreu,80,1
630,a788,b23,manchester by the sea,2016,Kenneth Lonergan,Casey Affleck Michelle Williams Kyle Chandler Lucas Hedges,137,manchester by the sea,2016,Kenneth Lonergan,Casey Affleck Kyle Chandler Lucas Hedges Michelle Williams,137,1
47650,a88,b2125,the big lebowski,1998,Joel Coen Ethan Coen,Jeff Bridges John Goodman Julianne Moore Steve Buscemi,117,the big lebowski,1998,Ethan Coen Joel Coen,Jeff Bridges John Goodman,117,1
8594,a1286,b332,the kids are all right,2010,Lisa Cholodenko,Annette Bening Julianne Moore Mark Ruffalo Mia Wasikowska,106,the kids are all right,2010,Lisa Cholodenko,Annette Bening Julianne Moore Mark Ruffalo,106,1
32051,a1063,b1414,the ghost writer,2010,Roman Polanski,Ewan McGregor Pierce Brosnan Olivia Williams Jon Bernthal,128,the ghost writer,2010,Roman Polanski,Ewan McGregor Olivia Williams Pierce Brosnan,128,1
3231,a2868,b115,after hours,1985,Martin Scorsese,Griffin Dunne Rosanna Arquette Verna Bloom Tommy Chong,97,after hours,1985,Martin Scorsese,Griffin Dunne Rosanna Arquette,97,1
64838,a786,b2885,moana,2016,Ron Clements John Musker Don Hall Chris Williams,Auli'i Cravalho Dwayne Johnson Rachel House Temuera Morrison,107,game night,2018,John Francis Daley Jonathan M. Goldstein,Billy Magnussen Camille Chen Chelsea Peretti Danny Huston James Sterling Jason Bateman Jesse Plemons Joshua Mikel Kabby Borders Kyle Chandler Kylie Bunbury Lamorne Morris Michael C. Hall Natasha Hall Rachel McAdams Sharon Horgan,100,0
5576,a129,b209,whiplash,2014,Damien Chazelle,Miles Teller J.K. Simmons Melissa Benoist Paul Reiser,107,whiplash,2014,Damien Chazelle,J.K. Simmons Melissa Benoist Miles Teller Paul Reiser,107,1
3528,a47,b132,finding nemo,2003,Andrew Stanton Lee Unkrich,Albert Brooks Ellen DeGeneres Alexander Gould Willem Dafoe,100,finding nemo,2003,Andrew Stanton Lee Unkrich,Albert Brooks Alexander Gould Ellen DeGeneres,100,1
33038,a2155,b1457,i  tonya,2017,Craig Gillespie,Margot Robbie Sebastian Stan Allison Janney Julianne Nicholson,120,i  tonya,2017,Craig Gillespie,Allison Janney Bobby Cannavale Bojana Novakovic Caitlin Carver Catherine Dyer Evan George Vourazeris James Sterling Joey Thurmond Joshua Mikel Julianne Nicholson Maizie Smith Margot Robbie Mckenna Grace Paul Walter Hauser Robin Dyke Sebastian Stan,120,1
4783,a2646,b169,the remains of the day,1993,James Ivory,Anthony Hopkins Emma Thompson John Haycraft Christopher Reeve,134,howards end,1992,James Ivory,Anthony Hopkins Emma Thompson,140,0
22828,a28,b1041,memento,2000,Christopher Nolan,Guy Pearce Carrie-Anne Moss Joe Pantoliano Mark Boone Junior,113,memento,2001,Christopher Nolan,Carrie-Anne Moss Guy Pearce Joe Pantoliano,113,1
52672,a247,b2327,the hateful eight,2015,Quentin Tarantino,Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins,187,the hateful eight,2015,Quentin Tarantino,Bruce Dern Channing Tatum Demián Bichir Jennifer Jason Leigh Kurt Russell Michael Madsen Samuel L. Jackson Tim Roth Walton Goggins,0,1
55810,a1002,b2455,the assassination of jesse james by the coward robert ford,2007,Andrew Dominik,Brad Pitt Casey Affleck Sam Shepard Mary-Louise Parker,160,the assassination of jesse james by the coward robert ford,2007,Andrew Dominik,Brad Pitt Casey Affleck Sam Shepard,160,1
56525,a2302,b2497,four lions,2010,Christopher Morris,Will Adamsdale Riz Ahmed Adeel Akhtar Arsher Ali,97,four lions,2010,Christopher Morris,Adeel Akhtar Riz Ahmed,97,1
12862,a1984,b569,crazy heart,2009,Scott Cooper,Jeff Bridges Maggie Gyllenhaal Colin Farrell James Keane,112,crazy heart,2009,Scott Cooper,Jeff Bridges Maggie Gyllenhaal,112,1
24711,a1929,b1126,the people vs  larry flynt,1996,Milos Forman,Woody Harrelson Courtney Love Edward Norton Brett Harrelson,129,the people vs  larry flynt,1996,Milos Forman,Courtney Love Woody Harrelson,129,1
5761,a1245,b223,network,1976,Sidney Lumet,Faye Dunaway William Holden Peter Finch Robert Duvall,121,network,1976,Sidney Lumet,Faye Dunaway Peter Finch William Holden,121,1
49194,a1249,b2171,gamer,2009,Mark Neveldine Brian Taylor,Gerard Butler Michael C. Hall Ludacris Amber Valletta,95,solitary man,2010,Brian Koppelman David Levien,Jesse Eisenberg Michael Douglas Susan Sarandon,90,0
13589,a2988,b598,71,2014,Yann Demange,Jack O'Connell Sam Reid Sean Harris Paul Popplewell,99,71,2015,Yann Demange,Charlie Murphy Jack O'Connell Paul Anderson Paul Popplewell Sam Hazeldine Sam Reid Sean Harris,99,1
