_id,ltable_id,rtable_id,ltable_name,ltable_release_year,ltable_director,ltable_actors,ltable_runtime,rtable_name,rtable_release_year,rtable_director,rtable_actors,rtable_runtime,label
26890,a564,b1206,28 weeks later,2007,Juan Carlos Fresnadillo,Jeremy Renner Rose Byrne Robert Carlyle Harold Perrineau,100,28 weeks later,2007,Juan Carlos Fresnadillo,Jeremy Renner Robert Carlyle Rose Byrne,99,1
41437,a2363,b1812,lady vengeance,2005,Chan-wook Park,Yeong-ae Lee Min-sik Choi Shi-hoo Kim Yea-young Kwon,115,lady vengeance,2006,Chan-wook Park,,112,1
4123,a2220,b151,collateral damage,2002,Andrew Davis,Arnold Schwarzenegger John Leguizamo Francesca Neri Elias Koteas,108,capturing the friedmans,2003,Andrew Jarecki,Arnold Friedman David Friedman Elaine Friedman Jesse Friedman,107,0
53980,a2505,b2393,scary movie 5,2013,Malcolm D. Lee David Zucker,Simon Rex Ashley Tisdale Charlie Sheen Lindsay Lohan,86,girl model,2012,Ashley Sabin David Redmon,Ashley Arbaugh Rachel Blais,78,0
24692,a628,b1122,changeling,2008,Clint Eastwood,Angelina Jolie Colm Feore Amy Ryan Gattlin Griffith,141,flags of our fathers,2006,Clint Eastwood,Adam Beach Barry Pepper Jesse Bradford Ryan Phillippe,132,0
7756,a854,b292,the shape of water,2017,Guillermo del Toro,Sally Hawkins Octavia Spencer Michael Shannon Doug Jones,123,the shape of water,2017,Guillermo del Toro,Cyndy Day David Hewlett Doug Jones John Kapelos Lauren Lee Smith Michael Shannon Michael Stuhlbarg Morgan Kelly Nick Searcy Nigel Bennett Octavia Spencer Richard Jenkins Sally Hawkins Stewart Arnott,123,1
31,a2633,b3,to catch a thief,1955,Alfred Hitchcock,Cary Grant Grace Kelly Jessie Royce Landis John Williams,106,rear window,1954,Alfred Hitchcock,Frank Cady Georgine Darcy Grace Kelly James Stewart Judith Evelyn Raymond Burr Ross Bagdasarian Sara Berner Thelma Ritter Wendell Corey,112,0
23194,a2695,b1063,time bandits,1981,Terry Gilliam,Sean Connery Shelley Duvall John Cleese Katherine Helmond,110,time bandits,1981,Terry Gilliam,David Rappaport David Warner Ian Holm John Cleese Katherine Helmond Michael Palin Peter Vaughan Ralph Richardson Sean Connery Shelley Duvall,116,1
41619,a1042,b1822,the heat,2013,Paul Feig,Sandra Bullock Michael McDonald Melissa McCarthy Demián Bichir,117,spy,2015,Paul Feig,Jason Statham Jude Law Melissa McCarthy Rose Byrne,119,0
56816,a406,b2509,moon,2009,Duncan Jones,Sam Rockwell Kevin Spacey Dominique McElligott Rosie Shaw,97,moon,2009,Duncan Jones,Sam Rockwell,97,1
10601,a141,b439,fargo,1996,Joel Coen Ethan Coen,William H. Macy Frances McDormand Steve Buscemi Peter Stormare,98,fargo,1996,Ethan Coen Joel Coen,Frances McDormand Steve Buscemi William H. Macy,98,1
46366,a1998,b2060,the bling ring,2013,Sofia Coppola,Katie Chang Israel Broussard Emma Watson Claire Julien,90,palo alto,2014,Gia Coppola,Emma Roberts Jack Kilmer James Franco Nat Wolff Zoe Levin,100,0
18157,a793,b810,master and commander  the far side of the world,2003,Peter Weir,Russell Crowe Paul Bettany Billy Boyd James D'Arcy,138,master and commander  the far side of the world,2003,Peter Weir,James D'Arcy Paul Bettany Russell Crowe,138,1
44834,a2600,b1986,the invitation,2015,Karyn Kusama,Logan Marshall-Green Emayatzy Corinealdi Michiel Huisman Tammy Blanchard,100,the invitation,2016,Karyn Kusama,Emayatzy E. Corinealdi Logan Marshall-Green Michiel Huisman Tammy Blanchard,100,1
15660,a379,b678,127 hours,2010,Danny Boyle,James Franco Amber Tamblyn Kate Mara Sean Bott,94,127 hours,2010,Danny Boyle,Amber Tamblyn James Franco Kate Mara,94,1
13847,a180,b607,spider man 2,2004,Sam Raimi,Tobey Maguire Kirsten Dunst Alfred Molina James Franco,127,spider man 2,2004,Sam Raimi,Alfred Molina Kirsten Dunst Tobey Maguire,127,1
643,a951,b24,rosemary s baby,1968,Roman Polanski,Mia Farrow John Cassavetes Ruth Gordon Sidney Blackmer,137,rosemary s baby,1968,Roman Polanski,John Cassavetes Mia Farrow,137,1
42096,a29,b1846,the wolf of wall street,2013,Martin Scorsese,Leonardo DiCaprio Jonah Hill Margot Robbie Matthew McConaughey,180,the wolf of wall street,2013,Martin Scorsese,Cristin Milioti Ethan Suplee Jean Dujardin Jon Bernthal Jon Favreau Jonah Hill Kyle Chandler Leonardo DiCaprio Margot Robbie Matthew McConaughey Rob Reiner Spike Jonze,180,1
18414,a1091,b820,coco,2017,Lee Unkrich Adrian Molina,Anthony Gonzalez Gael García Bernal Benjamin Bratt Alanna Ubach,105,coco,2017,Adrian Molina Lee Unkrich,Alanna Ubach Alfonso Arau Anthony Gonzalez Benjamin Bratt Cheech Marin Edward James Olmos Gabriel Iglesias Gael García Bernal Herbert Siguenza Jaime Camil John Ratzenberger Lombardo Boyar Natalia Cordova-Buckley Renee Victor Selene Luna Sofía Espinosa,105,1
24752,a2603,b1131,wings of desire,1987,Wim Wenders,Bruno Ganz Solveig Dommartin Otto Sander Curt Bois,128,wings of desire,1988,Wim Wenders,Bruno Ganz Curt Bois Otto Sander Peter Falk Solveig Dommartin,128,1
44804,a2788,b1978,tristan   isolde,2006,Kevin Reynolds,James Franco Sophia Myles Rufus Sewell David O'Hara,125,the last king of scotland,2006,Kevin Macdonald,Forest Whitaker Gillian Anderson James McAvoy,123,0
7848,a370,b296,moneyball,2011,Bennett Miller,Brad Pitt Robin Wright Jonah Hill Philip Seymour Hoffman,133,moneyball,2011,Bennett Miller,Brad Pitt Jonah Hill Robin Wright,133,1
34270,a1304,b1502,a christmas story,1983,Bob Clark,Peter Billingsley Melinda Dillon Darren McGavin Scott Schwartz,94,a christmas story,1983,Bob Clark,Peter Billingsley,94,1
51299,a80,b2275,requiem for a dream,2000,Darren Aronofsky,Ellen Burstyn Jared Leto Jennifer Connelly Marlon Wayans,102,requiem for a dream,2000,Darren Aronofsky,Ellen Burstyn Jared Leto,102,1
57702,a149,b2547,ted,2012,Seth MacFarlane,Mark Wahlberg Mila Kunis Seth MacFarlane Joel McHale,106,this is the end,2013,Evan Goldberg Seth Rogen,Craig Robinson Danny McBride Emma Watson James Franco Jay Baruchel Jonah Hill Michael Cera Mindy Kaling Paul Rudd Seth Rogen,107,0
38429,a281,b1679,nightcrawler,2014,Dan Gilroy,Jake Gyllenhaal Rene Russo Bill Paxton Riz Ahmed,118,nightcrawler,2014,Dan Gilroy,Bill Paxton Jake Gyllenhaal Rene Russo,117,1
20327,a101,b920,silver linings playbook,2012,David O. Russell,Bradley Cooper Jennifer Lawrence Robert De Niro Jacki Weaver,122,silver linings playbook,2012,David O. Russell,Bradley Cooper Chris Tucker Jacki Weaver Jennifer Lawrence Julia Stiles Robert De Niro,122,1
591,a2089,b19,american graffiti,1973,George Lucas,Richard Dreyfuss Ron Howard Paul Le Mat Charles Martin Smith,110,american graffiti,1973,George Lucas,Bo Hopkins Candy Clark Charles Martin Smith Cindy Williams Mackenzie Phillips Manuel Padilla Jr. Paul Le Mat Richard Dreyfuss Ron Howard Wolfman Jack,110,1
63520,a2987,b2832,frantic,1988,Roman Polanski,Harrison Ford Betty Buckley Emmanuelle Seigner Djiby Soumare,120,frantic,1988,Roman Polanski,Alain Doutey Betty Buckley Djiby Soumare Dominique Virton Emmanuelle Seigner Gérard Klein Harrison Ford Jacques Ciron Laurent Spielvogel Stéphane D'Audeville,120,1
33335,a2374,b1464,saturday night fever,1977,John Badham,John Travolta Karen Lynn Gorney Barry Miller Joseph Cali,118,saturday night fever,1977,John Badham,John Travolta,118,1
7558,a2061,b287,rebel without a cause,1955,Nicholas Ray,James Dean Natalie Wood Sal Mineo Jim Backus,111,rebel without a cause,1955,Nicholas Ray,Ann Doran Corey Allen Dennis Hopper Edward Platt James Dean Jim Backus Natalie Wood Rochelle Hudson Sal Mineo William Hopper,111,1
15127,a452,b649,mulholland dr ,2001,David Lynch,Naomi Watts Laura Harring Justin Theroux Jeanne Bates,147,mulholland dr ,2001,David Lynch,Justin Theroux Laura Harring Naomi Watts,147,1
6020,a1005,b228,hell or high water,2016,David Mackenzie,Chris Pine Ben Foster Jeff Bridges Gil Birmingham,102,hell or high water,2016,David Mackenzie,,102,1
44719,a491,b1972,serenity,2005,Joss Whedon,Nathan Fillion Gina Torres Chiwetel Ejiofor Alan Tudyk,119,serenity,2005,Joss Whedon,Chiwetel Ejiofor Gina Torres Nathan Fillion,119,1
65079,a1413,b2900,hairspray,2007,Adam Shankman,John Travolta Queen Latifah Nikki Blonsky Michelle Pfeiffer,117,talladega nights  the ballad of ricky bobby,2006,Adam McKay,John C. Reilly Will Ferrell,108,0
18469,a1376,b821,locke,2013,Steven Knight,Tom Hardy Olivia Colman Ruth Wilson Andrew Scott,85,locke,2014,Steven Knight,Tom Hardy,85,1
46180,a291,b2055,live free or die hard,2007,Len Wiseman,Bruce Willis Justin Long Timothy Olyphant Maggie Q,128,live free or die hard,2007,Len Wiseman,Bruce Willis Justin Long Timothy Olyphant,128,1
32027,a632,b1411,8 mile,2002,Curtis Hanson,Eminem Brittany Murphy Kim Basinger Mekhi Phifer,110,8 mile,2002,Curtis Hanson,Brittany Murphy Eminem Kim Basinger Mekhi Phifer,110,1
10540,a3013,b431,stuart little 2,2002,Rob Minkoff,Michael J. Fox Geena Davis Hugh Laurie Jonathan Lipnicki,77,this is spinal tap  re release ,2000,Rob Reiner,Christopher Guest Michael McKean Rob Reiner,82,0
66469,a1472,b2947,premium rush,2012,David Koepp,Joseph Gordon-Levitt Michael Shannon Dania Ramirez Sean Kennedy,91,premium rush,2012,David Koepp,Joseph Gordon-Levitt Michael Shannon,91,1
37959,a1454,b1669,what we do in the shadows,2014,Jemaine Clement Taika Waititi,Jemaine Clement Taika Waititi Cori Gonzalez-Macuer Jonny Brugh,86,what we do in the shadows,2015,Jemaine Clement Taika Waititi,Cori Gonzalez-Macuer Jemaine Clement Jonathan Brugh Taika Waititi,86,1
38414,a1011,b1678,mud,2012,Jeff Nichols,Matthew McConaughey Tye Sheridan Jacob Lofland Sam Shepard,130,mud,2013,Jeff Nichols,Jacob Lofland Matthew McConaughey Michael Shannon Reese Witherspoon Sam Shepard Sarah Paulson Tye Sheridan,130,1
26776,a1594,b1199,only god forgives,2013,Nicolas Winding Refn,Ryan Gosling Kristin Scott Thomas Vithaya Pansringarm Gordon Brown,90,drive,2011,Nicolas Winding Refn,Bryan Cranston Carey Mulligan Ryan Gosling,100,0
64458,a494,b2867,the transporter,2002,Louis Leterrier Corey Yuen,Jason Statham Qi Shu Matt Schulze François Berléand,92,so close,2003,Corey Yuen,Karen Mok Qi Shu Wei Zhao,0,0
24671,a2014,b1119,annihilation,2018,Alex Garland,Natalie Portman Jennifer Jason Leigh Tessa Thompson Benedict Wong,115,annihilation,2018,Alex Garland,Benedict Wong Cosmo Jarvis David Gyasi Edward Mannering Gina Rodriguez Honey Holmes Jennifer Jason Leigh John Schwab Natalie Portman Oscar Isaac Sonoya Mizuno Tessa Thompson Tuva Novotny,115,1
42705,a81,b1870,catch me if you can,2002,Steven Spielberg,Leonardo DiCaprio Tom Hanks Christopher Walken Martin Sheen,141,catch me if you can,2002,Steven Spielberg,Christopher Walken Leonardo DiCaprio Tom Hanks,141,1
41638,a702,b1822,spy,2015,Paul Feig,Melissa McCarthy Rose Byrne Jude Law Jason Statham,119,spy,2015,Paul Feig,Jason Statham Jude Law Melissa McCarthy Rose Byrne,119,1
57324,a590,b2526,annie hall,1977,Woody Allen,Woody Allen Diane Keaton Tony Roberts Carol Kane,93,interiors,1978,Woody Allen,Diane Keaton Geraldine Page,93,0
16999,a2954,b739,rachel getting married,2008,Jonathan Demme,Anne Hathaway Rosemarie DeWitt Debra Winger Sebastian Stan,113,rachel getting married,2008,Jonathan Demme,Anne Hathaway Rosemarie DeWitt,113,1
45652,a1217,b2036,never let me go,2010,Mark Romanek,Keira Knightley Carey Mulligan Andrew Garfield Izzy Meikle-Small,103,never let me go,2010,Mark Romanek,Andrew Garfield Carey Mulligan Keira Knightley,103,1
5001,a654,b188,the artist,2011,Michel Hazanavicius,Jean Dujardin Bérénice Bejo John Goodman James Cromwell,100,the artist,2011,Michel Hazanavicius,,100,1
24688,a1392,b1122,flags of our fathers,2006,Clint Eastwood,Ryan Phillippe Barry Pepper Joseph Cross Jesse Bradford,135,flags of our fathers,2006,Clint Eastwood,Adam Beach Barry Pepper Jesse Bradford Ryan Phillippe,132,1
53600,a2389,b2380,europa report,2013,Sebastián Cordero,Sharlto Copley Michael Nyqvist Christian Camargo Embeth Davidtz,90,europa report,2013,Sebastián Cordero,Anamaria Marinca Christian Camargo Dan Fogler Daniel Wu Embeth Davidtz Isiah Whitlock Jr Karolina Wydra Michael Nyqvist Sharlto Copley,90,1
49884,a351,b2200,the devil wears prada,2006,David Frankel,Anne Hathaway Meryl Streep Adrian Grenier Emily Blunt,109,redbelt,2008,David Mamet,Chiwetel Ejiofor Emily Mortimer,99,0
21029,a1406,b957,incendies,2010,Denis Villeneuve,Lubna Azabal Mélissa Désormeaux-Poulin Maxim Gaudette Mustafa Kamel,131,incendies,2011,Denis Villeneuve,,130,1
18857,a2622,b846,fish tank,2009,Andrea Arnold,Katie Jarvis Michael Fassbender Kierston Wareing Rebecca Griffiths,123,fish tank,2010,Andrea Arnold,Katie Jarvis Kierston Wareing,123,1
47668,a802,b2126,death race,2008,Paul W.S. Anderson,Jason Statham Joan Allen Tyrese Gibson Ian McShane,105,american hardcore,2006,Paul Rachman,Ian MacKaye,100,0
5094,a111,b192,blade runner,1982,Ridley Scott,Harrison Ford Rutger Hauer Sean Young Edward James Olmos,117,blade runner,1982,Ridley Scott,Harrison Ford Rutger Hauer Sean Young,117,1
59648,a2389,b2646,europa report,2013,Sebastián Cordero,Sharlto Copley Michael Nyqvist Christian Camargo Embeth Davidtz,90,crystal fairy   the magical cactus,2013,Sebastián Silva,Agustín Silva Gaby Hoffmann Jos Juan Andr Michael Cera,98,0
5678,a110,b214,the grand budapest hotel,2014,Wes Anderson,Ralph Fiennes F. Murray Abraham Mathieu Amalric Adrien Brody,99,the grand budapest hotel,2014,Wes Anderson,Adrien Brody Bill Murray Edward Norton F. Murray Abraham Harvey Keitel Jeff Goldblum Jude Law Léa Seydoux Mathieu Amalric Ralph Fiennes Saoirse Ronan Willem Dafoe,100,1
22666,a1346,b1032,mad max beyond thunderdome,1985,George Miller George Ogilvie,Mel Gibson Tina Turner Bruce Spence Adam Cockburn,107,mad max beyond thunderdome,1985,George Miller George Ogilvie,Mel Gibson Tina Turner,107,1
11175,a1895,b464,the host,2006,Joon-ho Bong,Kang-ho Song Hee-Bong Byun Hae-il Park Doona Bae,120,the host,2007,Joon-ho Bong,Hae-il Park Hie-bong Byeon Kang-ho Song,119,1
43450,a1377,b1907,mother ,2017,Darren Aronofsky,Jennifer Lawrence Javier Bardem Ed Harris Michelle Pfeiffer,121,mother ,2017,Darren Aronofsky,Amanda Chiu Brian Gleeson Domhnall Gleeson Ed Harris Eric Davis Javier Bardem Jennifer Lawrence Jovan Adepo Kristen Wiig Michelle Pfeiffer Patricia Summersett Stefan Simchowitz Stephen McHattie,121,1
6936,a2506,b254,superman iii,1983,Richard Lester,Christopher Reeve Richard Pryor Margot Kidder Jackie Cooper,125,superman ii,1981,Richard Donner Richard Lester,Christopher Reeve Gene Hackman Margot Kidder,127,0
64421,a2804,b2864,blood father,2016,Jean-François Richet,Mel Gibson Erin Moriarty Diego Luna Michael Parks,88,blood father,2016,Jean-François Richet,,88,1
349,a510,b11,north by northwest,1959,Alfred Hitchcock,Cary Grant Eva Marie Saint James Mason Jessie Royce Landis,136,north by northwest,1959,Alfred Hitchcock,Adam Williams Cary Grant Edward Platt Eva Marie Saint James Mason Jessie Royce Landis Josephine Hutchinson Leo G. Carroll Martin Landau Philip Ober,136,1
56046,a1909,b2469,bedtime stories,2008,Adam Shankman,Adam Sandler Keri Russell Courteney Cox Guy Pearce,99,awesome  i fuckin  shot that ,2006,Adam Yauch,Adam Horovitz Adam Yauch Mike D,90,0
12122,a269,b525,mystic river,2003,Clint Eastwood,Sean Penn Tim Robbins Kevin Bacon Emmy Rossum,138,mystic river,2003,Clint Eastwood,Emmy Rossum Kevin Bacon Laura Linney Laurence Fishburne Sean Penn Tim Robbins,138,1
26777,a163,b1199,drive,2011,Nicolas Winding Refn,Ryan Gosling Carey Mulligan Bryan Cranston Albert Brooks,100,drive,2011,Nicolas Winding Refn,Bryan Cranston Carey Mulligan Ryan Gosling,100,1
38327,a304,b1676,american gangster,2007,Ridley Scott,Denzel Washington Russell Crowe Chiwetel Ejiofor Josh Brolin,157,american gangster,2007,Ridley Scott,Denzel Washington Russell Crowe,157,1
16696,a1168,b733,steve jobs,2015,Danny Boyle,Michael Fassbender Kate Winslet Seth Rogen Jeff Daniels,122,steve jobs,2015,Danny Boyle,Jeff Daniels Kate Winslet Michael Fassbender Seth Rogen,122,1
33639,a626,b1473,jagten,2012,Thomas Vinterberg,Mads Mikkelsen Thomas Bo Larsen Annika Wedderkopp Lasse Fogelstrøm,115,the hunt,2013,Thomas Vinterberg,Alexandra Rapaport Anne Louise Hassing Annika Wedderkopp Lars Ranthe Lasse Fogelstr Mads Mikkelsen Ole Dupont Susse Wold Thomas Bo Larsen,115,0
464,a2469,b14,my left foot,1989,Jim Sheridan,Daniel Day-Lewis Brenda Fricker Alison Whelan Kirsten Sheridan,103,my left foot,1990,Jim Sheridan,Brenda Fricker Daniel Day-Lewis,103,1
14298,a860,b627,drag me to hell,2009,Sam Raimi,Alison Lohman Justin Long Ruth Livier Lorna Raver,99,drag me to hell,2009,Sam Raimi,Alison Lohman Justin Long Ruth Livier,99,1
475,a522,b15,gone with the wind,1939,Victor Fleming George Cukor Sam Wood,Clark Gable Vivien Leigh Thomas Mitchell Barbara O'Neil,238,gone with the wind,1940,George Cukor Sam Wood Victor Fleming,Vivien Leigh,238,1
63163,a1338,b2816,miller s crossing,1990,Joel Coen Ethan Coen,Gabriel Byrne Albert Finney John Turturro Marcia Gay Harden,115,miller s crossing,1990,Ethan Coen Joel Coen,Albert Finney Gabriel Byrne John Turturro,115,1
58210,a690,b2567,robocop,1987,Paul Verhoeven,Peter Weller Nancy Allen Dan O'Herlihy Ronny Cox,102,robocop,1987,Paul Verhoeven,Nancy Allen Peter Weller,102,1
48174,a2498,b2150,the outlaw josey wales,1976,Clint Eastwood,Clint Eastwood Sondra Locke Chief Dan George Bill McKinney,135,the outlaw josey wales,1976,Clint Eastwood,Bill McKinney Chief Dan George Clint Eastwood Geraldine Keams John Vernon Joyce Jameson Paula Trueman Sam Bottoms Sondra Locke Woodrow Parfrey,135,1
